/music/lemon.MP3
# 這是關卡2的音樂檔案路址

# 這是 level2.txt 檔案的內容
# 格式: spawn_trigger_x,width,height,y_position,type
# 遊戲世界每秒前進600像素

14050.0,60.0,60.0,60.0,regular
14120.0,50.0,50.0,30.0,regular
14190.0,50.0,50.0,0.0,regular
14260.0,60.0,60.0,500.0,regular
14330.0,60.0,60.0,450.0,regular
14400.0,60.0,60.0,400.0,regular
14470.0,50.0,50.0,350.0,regular
14540.0,60.0,60.0,300.0,regular
14610.0,60.0,60.0,250.0,regular
14680.0,60.0,60.0,200.0,regular
14750.0,60.0,60.0,150.0,regular
14820.0,60.0,60.0,100.0,regular
14890.0,60.0,60.0,50.0,regular
14960.0,50.0,50.0,0.0,regular
15030.0,50.0,50.0,470.0,regular
15100.0,50.0,50.0,400.0,regular
15170.0,60.0,60.0,320.0,regular
15240.0,60.0,60.0,240.0,regular
15310.0,60.0,60.0,160.0,regular
15380.0,60.0,60.0,80.0,regular
15450.0,60.0,60.0,0.0,regular
15520.0,50.0,50.0,520.0,regular
15590.0,60.0,60.0,470.0,regular
15660.0,60.0,60.0,420.0,regular
15730.0,60.0,60.0,370.0,regular
15800.0,60.0,60.0,320.0,regular
15870.0,60.0,60.0,270.0,regular
15940.0,60.0,60.0,220.0,regular
16000.0,50.0,50.0,170.0,regular
